model_name,model_type,child_name,speaker,tpr_overall,tpr_the,tpr_a,n_total,n_previous_a,n_previous_the
babylm-baseline-100m-gpt-bert-causal-focus,ar,Aran,child,0.28876901649080083,0.28912577937691036,0.28856475225012634,802,292,510
babylm-baseline-100m-gpt-bert-causal-focus,ar,Anne,mother,0.1481743672798387,0.21213023328071,0.08744476158168199,657,320,337
babylm-baseline-100m-gpt-bert-causal-focus,ar,Anne,child,0.201240767532383,0.19030081456363301,0.20990646504526383,500,221,279
babylm-baseline-100m-gpt-bert-causal-focus,ar,John,mother,0.2606012236060224,0.36436505758934623,0.16873861789318728,526,247,279
babylm-baseline-100m-gpt-bert-causal-focus,ar,John,child,0.3282914465200851,0.324675723084683,0.3305326997454541,473,181,292
babylm-baseline-100m-gpt-bert-causal-focus,ar,Nicole,mother,0.18696142338662872,0.20440640306695107,0.1292587982901776,280,215,65
babylm-baseline-100m-gpt-bert-causal-focus,ar,Nicole,child,0.2324454785879599,0.14394498985325282,0.35966493114410136,234,138,96
babylm-baseline-100m-gpt-bert-causal-focus,ar,Warren,mother,0.2674131888302475,0.3747631295449898,0.15776453418157074,944,477,467
babylm-baseline-100m-gpt-bert-causal-focus,ar,Warren,child,0.26383999212753095,0.2891346816106453,0.2483272333429647,826,314,512
babylm-baseline-100m-gpt-bert-mixed,ar,Gail,mother,0.19557769555735005,0.21130031875695224,0.16541592860301127,286,188,98
babylm-baseline-100m-gpt-bert-mixed,ar,Gail,child,0.23312490894935123,0.17535273579679592,0.31450291629327326,224,131,93
babylm-baseline-100m-gpt-bert-mixed,ar,Dominic,child,0.24705980466355676,0.18031658481233728,0.38531361721251145,172,116,56
babylm-baseline-100m-gpt-bert-mixed,ar,Dominic,mother,0.24056676496526874,0.2418223673955895,0.236064970885826,188,147,41
babylm-baseline-100m-gpt-bert-mixed,ar,Becky,mother,0.18621037359860132,0.19052881947481076,0.17787369466110617,548,361,187
babylm-baseline-100m-gpt-bert-mixed,ar,Becky,child,0.225300002080778,0.17622040207573977,0.2917949440230879,438,252,186
babylm-baseline-100m-gpt-bert-mixed,ar,Liz,mother,0.1811806824409358,0.18662045459572654,0.1703408444974477,410,273,137
babylm-baseline-100m-gpt-bert-mixed,ar,Liz,child,0.19717462109983064,0.1663633970594689,0.24003382377135943,373,217,156
babylm-baseline-100m-gpt-bert-mixed,ar,Carl,mother,0.2041868975111872,0.2453928377385703,0.17142817503041766,1077,477,600
babylm-baseline-100m-gpt-bert-mixed,ar,Carl,child,0.2875266036480494,0.3253715150841267,0.2562171588455116,910,412,498
babylm-baseline-100m-gpt-bert-mixed,ar,Joel,child,0.17838489538299251,0.14772899683343424,0.21277452516615086,331,175,156
babylm-baseline-100m-gpt-bert-mixed,ar,Joel,mother,0.13984986749967976,0.14080790111973623,0.13830010723194136,445,275,170
babylm-baseline-100m-gpt-bert-mixed,ar,Ruth,mother,0.16002684785789384,0.1674936085494794,0.15055680990759024,372,208,164
babylm-baseline-100m-gpt-bert-mixed,ar,Ruth,child,0.29330635822834006,0.2399652266965785,0.34189793695247905,279,133,146
babylm-baseline-100m-gpt-bert-mixed,ar,Aran,mother,0.17838561396857905,0.2441458691985574,0.12095955775212225,1079,503,576
babylm-baseline-100m-gpt-bert-mixed,ar,Aran,child,0.29474152323260866,0.30392310849666865,0.2894846155912253,802,292,510
babylm-baseline-100m-gpt-bert-mixed,ar,Anne,mother,0.14672751516037963,0.2027262098566895,0.0935536804339133,657,320,337
babylm-baseline-100m-gpt-bert-mixed,ar,Anne,child,0.21325346542610002,0.17823572992900916,0.2409915283108924,500,221,279
babylm-baseline-100m-gpt-bert-mixed,ar,John,mother,0.26905015652776476,0.3633772841435249,0.18554191093245018,526,247,279
babylm-baseline-100m-gpt-bert-mixed,ar,John,child,0.33421689552100564,0.32476180549337663,0.34007775612032365,473,181,292
babylm-baseline-100m-gpt-bert-mixed,ar,Nicole,mother,0.18161056459842106,0.20017816344751377,0.12019466071296062,280,215,65
babylm-baseline-100m-gpt-bert-mixed,ar,Nicole,child,0.233128997544258,0.1482827766952929,0.3550954400146453,234,138,96
babylm-baseline-100m-gpt-bert-mixed,ar,Warren,mother,0.2666797519315029,0.37028581134097055,0.16085514735266765,944,477,467
babylm-baseline-100m-gpt-bert-mixed,ar,Warren,child,0.2692571456946216,0.2846038215297322,0.25984531715512027,826,314,512
babylm-baseline-100m-gpt2,ar,Gail,mother,0.3591165057331013,0.2763353233743668,0.5179212229110816,286,188,98
babylm-baseline-100m-gpt2,ar,Gail,child,0.3683611942940156,0.22670576109574614,0.5678973421324381,224,131,93
babylm-baseline-100m-gpt2,ar,Dominic,child,0.353213624222828,0.21013969755026324,0.6495810437588551,172,116,56
babylm-baseline-100m-gpt2,ar,Dominic,mother,0.29377799756143846,0.24095642201409015,0.4831626708653461,188,147,41
babylm-baseline-100m-gpt2,ar,Becky,mother,0.3313769009440057,0.23767244280825195,0.5122716035483217,548,361,187
babylm-baseline-100m-gpt2,ar,Becky,child,0.3832056149714922,0.23200792271342904,0.5880541012566101,438,252,186
babylm-baseline-100m-gpt2,ar,Liz,mother,0.3378910690470287,0.24707123982956358,0.5188678090205177,410,273,137
babylm-baseline-100m-gpt2,ar,Liz,child,0.3686615334231201,0.23231516200871005,0.5583228321213698,373,217,156
babylm-baseline-100m-gpt2,ar,Carl,mother,0.39784391475354025,0.2567110020910929,0.5100445803201858,1077,477,600
babylm-baseline-100m-gpt2,ar,Carl,child,0.41950047875597973,0.23356574702294158,0.5733259997881318,910,412,498
babylm-baseline-100m-gpt2,ar,Joel,child,0.3713304429411362,0.26178597606933773,0.49421686411142307,331,175,156
babylm-baseline-100m-gpt2,ar,Joel,mother,0.32761158510837823,0.26661084564832654,0.4262892518819913,445,275,170
babylm-baseline-100m-gpt2,ar,Ruth,mother,0.3548799645905106,0.2569642476051863,0.47906575198653134,372,208,164
babylm-baseline-100m-gpt2,ar,Ruth,child,0.42241166273914516,0.22378349396698777,0.603353761689124,279,133,146
babylm-baseline-100m-gpt2,ar,Aran,mother,0.400500910160293,0.2767653876192436,0.5085546737681885,1079,503,576
babylm-baseline-100m-gpt2,ar,Aran,child,0.4779840140826414,0.2525584172977289,0.607051218516356,802,292,510
babylm-baseline-100m-gpt2,ar,Anne,mother,0.367735522137225,0.28606396577343834,0.4452871483580313,657,320,337
babylm-baseline-100m-gpt2,ar,Anne,child,0.40354091796857755,0.25264801149415,0.5230654066096114,500,221,279
babylm-baseline-100m-gpt2,ar,John,mother,0.42290994797436493,0.2993690360150913,0.5322812929705677,526,247,279
babylm-baseline-100m-gpt2,ar,John,child,0.45903996294302235,0.2575683708330708,0.5839247512029581,473,181,292
babylm-baseline-100m-gpt2,ar,Nicole,mother,0.32329637081692386,0.2711299134673013,0.49584696051182947,280,215,65
babylm-baseline-100m-gpt2,ar,Nicole,child,0.38811817700678436,0.21218554699926714,0.6410213326425904,234,138,96
babylm-baseline-100m-gpt2,ar,Warren,mother,0.4021605245309254,0.3066354848797495,0.49973106824315433,944,477,467
babylm-baseline-100m-gpt2,ar,Warren,child,0.45057266015760916,0.25087044076773807,0.5730462868928035,826,314,512
babylm-baseline-10m-gpt-bert-causal-focus,ar,Gail,mother,0.21269273716092899,0.23785921717258834,0.16441418366917432,286,188,98
babylm-baseline-10m-gpt-bert-causal-focus,ar,Gail,child,0.250549727800742,0.22705621776744733,0.2836427365573182,224,131,93
babylm-baseline-10m-gpt-bert-causal-focus,ar,Dominic,child,0.27228363280286294,0.2179476403121009,0.38483676010515566,172,116,56
babylm-baseline-10m-gpt-bert-causal-focus,ar,Dominic,mother,0.25272212444461145,0.2634763200645702,0.21416439868524706,188,147,41
babylm-baseline-10m-gpt-bert-causal-focus,ar,Becky,mother,0.20570028186828673,0.22664581612122292,0.16526532002170938,548,361,187
babylm-baseline-10m-gpt-bert-causal-focus,ar,Becky,child,0.23205636731785786,0.19910103921067884,0.2767055215275844,438,252,186
babylm-baseline-10m-gpt-bert-causal-focus,ar,Liz,mother,0.1937806110910328,0.21085764868003917,0.1597511858224289,410,273,137
babylm-baseline-10m-gpt-bert-causal-focus,ar,Liz,child,0.21265142991528174,0.18664088324437536,0.24883276727160664,373,217,156
babylm-baseline-10m-gpt-bert-causal-focus,ar,Carl,mother,0.20299235517180597,0.23716691037322551,0.17582358378667748,1077,477,600
babylm-baseline-10m-gpt-bert-causal-focus,ar,Carl,child,0.30247842644942624,0.31798639571468773,0.28964854022997283,910,412,498
babylm-baseline-10m-gpt-bert-causal-focus,ar,Joel,child,0.18928421295637285,0.17021821323811978,0.21067235366595155,331,175,156
babylm-baseline-10m-gpt-bert-causal-focus,ar,Joel,mother,0.15633563542585283,0.16920630093737862,0.13551544121603168,445,275,170
babylm-baseline-10m-gpt-bert-causal-focus,ar,Ruth,mother,0.1754726419789089,0.17936369732277604,0.17053764495741883,372,208,164
babylm-baseline-10m-gpt-bert-causal-focus,ar,Ruth,child,0.3239127110863113,0.2848053036375151,0.35953795211843387,279,133,146
babylm-baseline-10m-gpt-bert-causal-focus,ar,Aran,mother,0.17848555033139246,0.23742573778530598,0.12701521302354787,1079,503,576
babylm-baseline-10m-gpt-bert-causal-focus,ar,Aran,child,0.30963435064428024,0.2931645812174576,0.31906410098277477,802,292,510
babylm-baseline-10m-gpt-bert-causal-focus,ar,Anne,mother,0.16070694284947415,0.23144596926623615,0.09353635396708884,657,320,337
babylm-baseline-10m-gpt-bert-causal-focus,ar,Anne,child,0.22073009618282402,0.19404582843144652,0.24186709680309076,500,221,279
babylm-baseline-10m-gpt-bert-causal-focus,ar,John,mother,0.2769559353244456,0.38627233725836496,0.18017761533276783,526,247,279
babylm-baseline-10m-gpt-bert-causal-focus,ar,John,child,0.3459810686781228,0.31748926392577215,0.3636420846376277,473,181,292
babylm-baseline-10m-gpt-bert-causal-focus,ar,Nicole,mother,0.2001227873113613,0.22191810580349883,0.12803057999121406,280,215,65
babylm-baseline-10m-gpt-bert-causal-focus,ar,Nicole,child,0.2622637696240703,0.1916260636451931,0.3638054719687063,234,138,96
babylm-baseline-10m-gpt-bert-causal-focus,ar,Warren,mother,0.2666910748352392,0.3791597341975066,0.15181409300268767,944,477,467
babylm-baseline-10m-gpt-bert-causal-focus,ar,Warren,child,0.2818061101663262,0.2730589217918906,0.2871705967865855,826,314,512
babylm-baseline-10m-gpt-bert-mixed,ar,Gail,mother,0.20784218783469258,0.2310379950072467,0.16334410876897645,286,188,98
babylm-baseline-10m-gpt-bert-mixed,ar,Gail,child,0.243641050901337,0.1887917161249041,0.3209019418229791,224,131,93
babylm-baseline-10m-gpt-bert-mixed,ar,Dominic,child,0.2658611332572837,0.22154936205844064,0.3576498021691729,172,116,56
babylm-baseline-10m-gpt-bert-mixed,ar,Dominic,mother,0.26648508602889454,0.2804028140944387,0.21658493906218776,188,147,41
babylm-baseline-10m-gpt-bert-mixed,ar,Becky,mother,0.20798523374307215,0.2271845127831246,0.17092138490104586,548,361,187
babylm-baseline-10m-gpt-bert-mixed,ar,Becky,child,0.24482546016135254,0.20654670491836194,0.2966869995228237,438,252,186
babylm-baseline-10m-gpt-bert-mixed,ar,Liz,mother,0.1972588035473396,0.2124722895003972,0.1669428789839475,410,273,137
babylm-baseline-10m-gpt-bert-mixed,ar,Liz,child,0.21684331489767078,0.19063289289756308,0.2533026839619231,373,217,156
babylm-baseline-10m-gpt-bert-mixed,ar,Carl,mother,0.19473510140401826,0.2302279768727664,0.1665182654063635,1077,477,600
