model_name,model_short,model_type,n_model_dyads,mean_model_tpr,sd_model_tpr,n_paired_child_dyads,n_paired_mother_dyads,mean_other_adult_tpr,other_adult_population_mean,onesample_t,p_1sample,welch_t,p_welch_vs_adults,paired_vs_child_t,p_paired_child,paired_vs_mother_t,p_paired_mother
roberta-base,roberta-base,mlm,12,0.23874898987754808,0.05094334839319924,12,12,0.23076961559463016,0.2154798761609907,1.5822786870270031,0.1418922359385153,0.3907094869931437,0.6992337201324307,2.296941963920558,0.042258641953650776,3.073219651505077,0.010598818520889999
roberta-base-100M-1,roberta-base-100M-1,mlm,12,0.26730567170477876,0.049932308180753504,12,12,0.23076961559463016,0.2154798761609907,3.5954641111150427,0.0042031905742868575,1.807495962682292,0.08231295959143611,5.395458098809836,0.00021816125572315503,4.752948911998025,0.0005968469426008962
roberta-base-100M-2,roberta-base-100M-2,mlm,12,0.2846359697960455,0.052524467994630016,12,12,0.23076961559463016,0.2154798761609907,4.560993091492208,0.0008153147120817242,2.59548546836889,0.015498769944342822,7.497705959587571,1.2034471746057742e-05,6.032275392646984,8.522445148166445e-05
roberta-base-100M-3,roberta-base-100M-3,mlm,12,0.2819266787379286,0.05117605531718344,12,12,0.23076961559463016,0.2154798761609907,4.497776835297088,0.0009045138109429449,2.4989764235597263,0.019203322007785042,6.650280343965454,3.6097993969614525e-05,5.62537000653678,0.0001543648917683217
roberta-base-10M-1,roberta-base-10M-1,mlm,12,0.3669431163708305,0.06818618816284804,12,12,0.23076961559463016,0.2154798761609907,7.694872952742404,9.436003307752922e-06,5.61442305732815,1.3320106694346539e-05,9.7912878527478,9.12383306775342e-07,7.960524395889055,6.846580446079027e-06
roberta-base-10M-2,roberta-base-10M-2,mlm,12,0.3378099572700414,0.054978681001864184,12,12,0.23076961559463016,0.2154798761609907,7.707784614465857,9.288328236215563e-06,5.0308089604680895,3.545441013668542e-05,10.05577995825472,6.993075665693175e-07,7.676782183521986,9.647178183075807e-06
roberta-base-10M-3,roberta-base-10M-3,mlm,12,0.34706358089998934,0.06537739459679377,12,12,0.23076961559463016,0.2154798761609907,6.9721243393588646,2.353788511754515e-05,4.927511787648019,6.222844295506564e-05,8.20139102905985,5.152956845488775e-06,7.507465214898226,1.1889192710823733e-05
roberta-base-1B-1,roberta-base-1B-1,mlm,12,0.27774332147216524,0.05482773102683154,12,12,0.23076961559463016,0.2154798761609907,3.933901648436415,0.002336366377248993,2.21110170609661,0.036492104670975314,5.764744254033101,0.00012561870531562692,5.029648333713134,0.0003841666824729929
roberta-base-1B-2,roberta-base-1B-2,mlm,12,0.28277117177496575,0.04831410005196565,12,12,0.23076961559463016,0.2154798761609907,4.824758933113963,0.0005318099191930878,2.615349363639146,0.014589277631611225,7.8185740538851505,8.118791571088978e-06,5.990616058164448,9.047290428508424e-05
roberta-base-1B-3,roberta-base-1B-3,mlm,12,0.2848447277279129,0.05948025435442463,12,12,0.23076961559463016,0.2154798761609907,4.039775837456407,0.0019492250231985875,2.428910377142607,0.023155734273612612,7.239052806025615,1.6672387536175777e-05,5.375950143493134,0.00022473679877865494
roberta-base-strict-2023,roberta-base-strict-2023,mlm,12,0.47484560410023774,0.06241995840446148,12,12,0.23076961559463016,0.2154798761609907,14.393941617902568,1.7578354656470165e-08,10.647190820243269,2.5325461111192724e-10,15.602337744512687,7.52474084273694e-09,12.451888566145454,7.948399932662401e-08
roberta-base-strict-small-2023,roberta-base-strict-small-2023,mlm,12,0.48704704010784416,0.055867925233798015,12,12,0.23076961559463016,0.2154798761609907,16.838575037641885,3.3554400177240525e-09,11.937022129786511,1.0554866105838174e-11,17.42260021083178,2.3350830032006975e-09,14.133810862818784,2.1280187768700994e-08
roberta-large,roberta-large,mlm,12,0.2697732644903134,0.05365186314691452,12,12,0.23076961559463016,0.2154798761609907,3.5055225144352575,0.004922220528350495,1.8579526340570596,0.07496542971811804,7.041835819259585,2.149249224702249e-05,5.0090607297781515,0.0003968214340230448
roberta-med-small-1M-1,roberta-med-small-1M-1,mlm,12,0.4751690959636699,0.04183353855170584,12,12,0.23076961559463016,0.2154798761609907,21.504034248511882,2.4518055354741746e-10,13.126515501200483,3.13637941251862e-13,20.621010035247643,3.848735511987541e-10,16.749234215387563,3.5504442302229554e-09
roberta-med-small-1M-2,roberta-med-small-1M-2,mlm,12,0.45876615143427574,0.019434406241135318,12,12,0.23076961559463016,0.2154798761609907,43.36476086062315,1.1958586641743727e-13,14.959168184975097,1.4745572066089648e-12,19.23338520930148,8.124855415304729e-10,19.83414789283259,5.843630089430428e-10
roberta-med-small-1M-3,roberta-med-small-1M-3,mlm,12,0.47563325221860375,0.05108194155851224,12,12,0.23076961559463016,0.2154798761609907,17.642198058435824,2.0434992972715936e-09,11.972829848879408,5.2933110163512414e-12,17.832383907079357,1.8228404629759413e-09,14.424162509999954,1.719587434170054e-08
t5-base,t5-base,seq2seq,12,0.23864139527708328,0.04246764860351773,12,12,0.23076961559463016,0.2154798761609907,1.8892935779932545,0.08548439017241173,0.42009688734628464,0.6777449249267349,2.4336588702040585,0.03319375048560714,3.8975737879399794,0.0024869420234498217
t5-base-strict-2023,t5-base-strict-2023,seq2seq,12,0.3600200496993648,0.06660054280398674,12,12,0.23076961559463016,0.2154798761609907,7.517984501720919,1.1734708510148057e-05,5.411534694158854,2.022926582553212e-05,11.474577160471762,1.8405792200096922e-07,8.02149677059637,6.367595331805009e-06
t5-base-strict-small-2023,t5-base-strict-small-2023,seq2seq,12,0.48266856501576555,0.036659415831848195,12,12,0.23076961559463016,0.2154798761609907,25.247777347403023,4.333763810285822e-11,14.242403173538705,5.337884845478295e-14,12.012266378049842,1.1511307576317868e-07,16.712999879346917,3.633017276523788e-09
