K,children_perdyad_TPR,other_adult_pooled_TPR,other_adult_n
177,0.20285061079365843,0.2013685239491691,1023
178,0.20299456253563283,0.201171875,1024
179,0.20290566637434926,0.20136186770428016,1028
180,0.20286148966752193,0.20077594568380214,1031
181,0.20273538852354323,0.20019342359767892,1034
182,0.2025502328976547,0.20173745173745175,1036
183,0.20274175956604282,0.20250723240115717,1037
184,0.20299047133464135,0.20211742059672763,1039
185,0.20289942000528774,0.20211742059672763,1039
186,0.2028379319612744,0.20249520153550865,1042
187,0.2030272091892542,0.2021072796934866,1044
188,0.2030315185355406,0.20191387559808613,1045
189,0.20292488220053184,0.2032442748091603,1048
190,0.20345379078786244,0.20305052430886558,1049
191,0.2032143577814156,0.20322886989553657,1053
192,0.20410512259809055,0.2037735849056604,1060
193,0.20450400123881393,0.2037735849056604,1060
194,0.20472779998815205,0.20433145009416195,1062
195,0.20485912132779702,0.20433145009416195,1062
196,0.20477261988429285,0.20433145009416195,1062
197,0.20489840120732464,0.20433145009416195,1062
198,0.20511352295923432,0.20356472795497185,1066
199,0.20529012774501906,0.20356472795497185,1066
200,0.2052466664517355,0.2048643592142189,1069
1000000000,0.2258725305298738,0.2154798761609907,1615
